von	od
zu	do
im	u
zum	za
ist	je
auf	na
Das	da
durch	po
Dies	ovaj
mit	s
ich	ja
Sie	vas
es	to
oder	ili
Sein	biti
sind	su
beim	na
alle	svi
haben	imati
Neu	novi
wir	mi
werden	htjeti
Zuhause	Dom
uns	nas
Über	oko
ob	ako
Seite	stranica
meine	moj
hat	ima
Suche	traži
frei	besplatno
aber	ali
unser	naše
ein	jedan
andere	drugo
machen	čini
Information	informacija
Zeit	vrijeme
er	on
welche	koji
ihr	njihov
Nachrichten	vijesti
benutzen	koristiti
Dort	tamo
sehen	vidjeti
damit	tako
Wer	tko
Netz	mreža
ebenfalls	također
bekommen	dobiti
pm	pm
Aussicht	pogled
c	c
e	e
zuerst	prvi
gewesen	bila
würde	bi
wurden	su
s	a
mögen	Kao
x	x
als	od
finden	pronaći
Preis	cijena
zurück	leđa
oben	vrh
Menschen	narod
hätten	imala
Liste	popis
Name	Ime
gerade	samo
Jahr	godina
Tag	dan
in	u
zwei	dva
Gesundheit	zdravlje
n	n
Re	ponovno
benutzt	koristi
gehen	ići
b	b
letzte	posljednji
machen	napraviti
Sie	ih
sollte	treba
Produkt	proizvod
System	sistem
Post	pošta
ihr	nju
Stadt	Grad
t	t
Politik	politika
Nummer	broj
Unterstützung	podrška
Botschaft	poruka
nach	nakon
dann	zatim
Januar	siječanj
gut	dobro
d	d
woher	gdje
Info	Informacije
Rechte	prava
Bücher	knjige
hoch	visok
Schule	škola
m	m
jeder	svaki
Links	linkovi
sie	ona
Jahre	godine
Auftrag	narudžba
sehr	vrlo
Buch	knjiga
Artikel	stavke
Unternehmen	društvo
r	r
lesen	čitati
Gruppe	skupina
Sex	seks
viele	mnogi
Benutzer	korisnik
de	de
einstellen	set
Allgemeines	general
Forschung	istraživanje
Universität	sveučilište
Januar	siječanj
Post	pošta
voll	puni
Bewertungen	recenzije
Programm	program
kennt	znati
Spiele	igre
Weg	put
Tage	dana
p	p
Teil	dio
könnte	mogao
groß	Sjajno
vereinigt	ujedinjen
echt	stvaran
f	f
International	međunarodna
Center	centar
Reise	putovati
Bemerkungen	komentari
gemacht	napravljen
Entwicklung	razvoj
Bericht	izvješće
Mitglied	član
Einzelheiten	detalji
Linie	crta
Bedingungen	Pojmovi
Vor	prije
Hotels	hoteli
tat	učinio
senden	poslati
Recht	pravo
Art	tip
lokal	lokalne
jene	oni
Ergebnisse	rezultati
Büro	ured
National	nacionalna
Auto	automobil
Design	dizajn
nehmen	uzeti
Gesendet	objavljeno
Adresse	adresa
Gemeinschaft	zajednica
innerhalb	unutar
Zustände	Države
wollen	željeti
Telefon	telefon
DVD	DVD
Gegenstand	predmet
zwischen	između
Forum	forum
Familie	obitelj
l	l
lange	dugo
w	w
Show	pokazati
O	o
sogar	čak
schwarz	crno
Besondere	poseban
Index	indeks
Sein	biće
Frau	žene
viel	mnogo
Schild	znak
Datei	datoteka
Verknüpfung	veza
öffnen	otvoren
Süd	jug
Fall	slučaj
Projekt	projekt
Seiten	stranica
Ausführung	verzija
Sektion	odjeljak
besitzen	vlastiti
Haus	kuća
Sicherheit	sigurnosti
G	g
Bezirk	okrug
amerikanisch	američki
Foto	foto
Spiel	igra
Mitglieder	članovi
Leistung	vlast
Netzwerk	mreža
Computer	Računalo
Systeme	sustavi
drei	tri
Ort	mjesto
Ende	kraj
h	h
ihm	mu
pro	po
Zugriff	pristup
denken	razmišljati
Norden	sjeverno
Ressourcen	resursi
Strom	Trenutno
groß	velik
Medien	media
Recht	zakon
Steuerung	kontrolirati
Wasser	voda
Geschichte	povijest
Größe	veličina
persönlich	osobni
führen	vodič
Geschäft	dućan
Verzeichnis	imenik
Veränderung	promijeniti
Weiß	bijela
Text	tekst
klein	mali
Wertung	klijenata
Bewertung	stopa
Regierung	vlada
Kinder	djeca
Rückkehr	povratak
Studenten	studenti
v	v
Konto	račun
mal	puta
Niveau	nivo
Digital	digitalni
Profil	profil
Bisherige	prijašnji
bilden	oblik
Veranstaltungen	događaji
Liebe	ljubav
alt	star
John	Ivan
Main	glavni
Anruf	poziv
Bild	slika
Abteilung	odjel
Titel	titula
nicht	ne
k	k
y	y
Versicherung	osiguranje
soll	treba
Eigentum	svojstvo
Klasse	klasa
CD	CD
Qualität	kvaliteta
jeden	svaki
Auflistung	spisak
Inhalt	sadržaj
Land	zemlja
wenig	malo
Werkzeuge	alat
niedrig	nizak
Antworten	odgovor
Kunde	kupac
Dezember	prosinac
vergleichen	usporediti
Filme	filmovi
Hochschule	koledž
Wert	vrijednost
Artikel	članak
Mann	čovjek
Arbeitsplätze	poslovi
j	j
Lebensmittel	hrana
Autor	Autor
anders	drugačiji
u	u
lernen	naučiti
Verkauf	prodaja
drucken	otisak
Kurs	tečaj
Job	posao
Zimmer	soba
Stock	zaliha
Ausbildung	trening
auch	isto
Kredit	Kreditna
Punkt	točka
Wissenschaft	znanost
Männer	muškarci
Kategorien	kategorije
Westen	Zapad
aussehen	izgled
Englisch	Engleski
Mannschaft	tim
Gut	imanje
Box	kutija
Bedingungen	Uvjeti
Fotos	fotografije
Fröhlich	homoseksualac
Faden	nit
Kategorie	kategorija
Hinweis	Bilješka
Leben	uživo
groß	veliki
Galerie	galerija
Tabelle	stol
jedoch	međutim
Juni	lipanj
Oktober	listopad
November	studeni
Markt	tržište
Bibliothek	knjižnica
Aktion	akcijski
Anfang	početak
Serie	niz
Eigenschaften	značajke
Luft	zrak
Industrie	industrija
planen	plan
Mensch	ljudski
Ja	Da
zweite	drugi
heiß	vruće
Kosten	cijena
Film	film
Foren	forumi
März	ožujak
la	la
September	rujan
sagen	reći
gehen	odlazak
medizinisch	medicinski
Freund	prijatelj
Dezember	prosinca
Server	server
Anwendung	primjena
Mitarbeiter	osoblje
abspielen	igra
Probleme	pitanja
April	travanj
Benutzer	Korisnici
Straße	ulica
Thema	tema
gegen	protiv
bekam	dobio
Blog	blog
Party	Zabava
Zahlung	plaćanje
Ausrüstung	oprema
Lassen	pustiti
Programme	programi
legal	pravni
kürzlich	nedavni
Park	park
Handlung	čin
Problem	problem
rot	Crvena
geben	dati
Erinnerung	memorija
Performance	izvođenje
Sozial	socijalni
q	q
Geschichte	priča
verkaufen	prodavati
Optionen	opcije
Erfahrung	iskustvo
Schlüssel	ključ
Karosserie	tijelo
jung	mladi
wichtig	važno
Feld	polje
wenige	nekoliko
Osten	istočno
Single	singl
ii	ii
Alter	dob
Verein	klub
Beispiel	primjer
Mädchen	djevojke
z	z
Straße	cesta
Geschenk	dar
Frage	pitanje
ca	ca
hart	teško
Zahlen	platiti
vier	četiri
Poker	poker
Problem	problem
Angebot	opseg
Gebäude	zgrada
Verkäufer	prodavač
Gericht	sud
Februar	veljača
Ergebnis	proizlaziti
Licht	svjetlo
schreiben	pisati
Krieg	rat
Angebot	ponuda
Blau	plava
Gruppen	grupe
al	al
einfach	lako
gegeben	dan
anfordern	zahtjev
Fax	faks
China	Kina
Herstellung	izrađivanje
Bild	slika
Bedürfnisse	potrebe
möglich	moguće
Monat	mjesec
Haupt	glavni
Star	zvijezda
Zukunft	budućnost
Raum	prostor
Ausschuss	odbor
Hand	ruka
Sonne	Sunce
Karten	kartice
London	London
Treffen	sastanak
werden	postati
Kind	dijete
behalten	zadržati
Porno	pornografija
Aktie	udio
ähnlich	sličan
Garten	vrt
Schulen	škola
Million	milijuna
hinzugefügt	dodano
Referenz	upućivanje
Firmen	tvrtke
Baby	dijete
Lernen	učenje
Energie	energija
Lauf	trčanje
Lieferung	dostava
Beliebt	popularan
Begriff	termin
Film	film
Geschichten	priče
stellen	staviti
Tagebuch	časopis
Berichte	izvještaji
co	ko
Versuchen	probati
Bilder	slika
beachten	obavijest
Gott	bog
Original	izvornik
Kopf	glava
Radio	radio
Zelle	ćelija
Rat	vijeće
enthält	uključuje
Spur	staza
Diskussion	rasprava
Archiv	arhiva
Andere	drugi
Zustimmung	sporazum
Format	format
Gesellschaft	društvo
Monate	mjeseci
Sicherheit	sigurnosni
Freunde	prijatelji
sicher	Naravno
Auflage	izdanje
Mitteilungen	poruke
Marketing	Marketing
sagen	reći
Verband	asocijacija
bietet	pruža
Spaß	zabava
bereits	već
Grün	zelena
Studien	studije
schließen	Zatvoriti
verbreitet	uobičajen
Spezifisch	specifično
mehrere	nekoliko
Leben	život
Sammlung	kolekcija
namens	zvao
kurz	kratak
Kunst	umjetnost
Menge	mnogo
Fragen	pitati
begrenzt	ograničen
Lösungen	rješenja
Direktor	direktor
Strand	plaža
Vergangenheit	prošlost
natürlich	prirodni
Elektronik	elektronika
auf	na
Zeitraum	razdoblje
Planung	planiranje
sagt	kaže
offiziell	službeno
beschädigen	pokvariti
erledigt	učinio
technisch	tehnička
Fenster	prozor
Profi	profesionalac
Region	regija
Insel	otoka
Aufzeichnung	snimiti
Direkte	direktno
Konferenz	konferencija
Aufzeichnungen	ploče
st	st
Kreis	okrug
Kalender	kalendar
Kosten	troškovi
Stil	stil
Erklärung	izjava
Meilen	milja
Ressource	resurs
Anwendungen	aplikacije
Dokument	dokument
Wort	riječ
Werk	djela
Material	materijal
Rechnung	račun
geschrieben	napisan
Regeln	pravila
Finale	konačni
Ding	stvar
Center	centar
