von	de
zu	à
im	dans
zum	pour
ist	est
auf	sur
Das	cette
durch	par
Dies	ce
mit	avec
ich	je
Sie	toi
es	il
oder	ou
Sein	être
sind	sont
beim	à
alle	tout
haben	avoir
Neu	Nouveau
wir	nous
werden	volonté
Zuhause	maison
uns	nous
Über	sur
ob	si
Seite	page
meine	mon
hat	a
Suche	chercher
frei	gratuit
aber	mais
unser	notre
ein	un
andere	autre
machen	faire
Information	information
Zeit	temps
er	il
welche	lequel
ihr	leur
Nachrichten	nouvelles
benutzen	utilisation
Dort	Là
sehen	voir
damit	alors
Wer	qui
Netz	toile
ebenfalls	aussi
bekommen	obtenir
pm	pm
Aussicht	vue
c	c
e	e
zuerst	premier
gewesen	été
würde	aurait
wurden	étaient
s	s
mögen	comme
x	X
als	que
finden	trouver
Preis	prix
zurück	arrière
oben	Haut
Menschen	gens
hätten	avait
Liste	liste
Name	prénom
gerade	juste
Jahr	an
Tag	journée
in	dans
zwei	deux
Gesundheit	santé
n	n
Re	ré
benutzt	utilisé
gehen	aller
b	b
letzte	dernier
machen	faire
Sie	leur
sollte	devrait
Produkt	produit
System	système
Post	poster
ihr	sa
Stadt	ville
t	t
Politik	politique
Nummer	nombre
Unterstützung	soutien
Botschaft	message
nach	après
dann	puis
Januar	jan
gut	bien
d	ré
woher	où
Info	Info
Rechte	droits
Bücher	livres
hoch	haute
Schule	école
m	m
jeder	chaque
Links	liens
sie	elle
Jahre	années
Auftrag	commande
sehr	très
Buch	livre
Artikel	articles
Unternehmen	compagnie
r	r
lesen	lis
Gruppe	groupe
Sex	sexe
viele	beaucoup
Benutzer	utilisateur
de	de
einstellen	ensemble
Allgemeines	général
Forschung	recherche
Universität	Université
Januar	janvier
Post	courrier
voll	plein
Bewertungen	avis
Programm	programme
kennt	connaître
Spiele	Jeux
Weg	façon
Tage	journées
p	p
Teil	partie
könnte	pourrait
groß	génial
vereinigt	uni
echt	réal
f	F
International	international
Center	centre
Reise	Voyage
Bemerkungen	commentaires
gemacht	fabriqué
Entwicklung	développement
Bericht	rapport
Mitglied	membre
Einzelheiten	détails
Linie	ligne
Bedingungen	termes
Vor	avant
Hotels	hôtels
tat	fait
senden	envoyer
Recht	droite
Art	type
lokal	local
jene	ceux
Ergebnisse	résultats
Büro	Bureau
National	nationale
Auto	voiture
Design	conception
nehmen	prendre
Gesendet	posté
Adresse	adresse
Gemeinschaft	communauté
innerhalb	dans
Zustände	États
wollen	vouloir
Telefon	téléphone
DVD	DVD
Gegenstand	assujettir
zwischen	entre
Forum	forum
Familie	famille
l	l
lange	longue
w	w
Show	montrer
O	o
sogar	même
schwarz	noir
Besondere	spécial
Index	indice
Sein	étant
Frau	femmes
viel	beaucoup
Schild	signe
Datei	fichier
Verknüpfung	lien
öffnen	ouvrir
Süd	Sud
Fall	Cas
Projekt	projet
Seiten	pages
Ausführung	version
Sektion	section
besitzen	posséder
Haus	maison
Sicherheit	Sécurité
G	g
Bezirk	comté
amerikanisch	américain
Foto	photo
Spiel	Jeu
Mitglieder	membres
Leistung	Puissance
Netzwerk	réseau
Computer	ordinateur
Systeme	systèmes
drei	Trois
Ort	endroit
Ende	fin
h	h
ihm	lui
pro	par
Zugriff	accès
denken	pense
Norden	Nord
Ressourcen	Ressources
Strom	actuel
groß	gros
Medien	médias
Recht	loi
Steuerung	contrôle
Wasser	eau
Geschichte	histoire
Größe	Taille
persönlich	personnel
führen	guider
Geschäft	boutique
Verzeichnis	annuaire
Veränderung	changement
Weiß	blanc
Text	texte
klein	petit
Wertung	évaluation
Bewertung	taux
Regierung	gouvernement
Kinder	enfants
Rückkehr	revenir
Studenten	élèves
v	v
Konto	Compte
mal	fois
Niveau	niveau
Digital	numérique
Profil	profil
Bisherige	précédent
bilden	forme
Veranstaltungen	événements
Liebe	amour
alt	vieux
John	John
Main	principale
Anruf	appel
Bild	image
Abteilung	département
Titel	Titre
nicht	non
k	k
y	y
Versicherung	Assurance
soll	doit
Eigentum	propriété
Klasse	classe
CD	CD
Qualität	qualité
jeden	chaque
Auflistung	inscription
Inhalt	contenu
Land	pays
