из	di
в	a
в	in
для	per
является	è
на	sopra
что	quella
от	di
это	Questo
с	con
я	io
вы	tu
Это	esso
или	o
быть	essere
находятся	siamo
в	a
все	tutti
иметь	avere
новый	nuovo
мы	noi
будем	volere
Главная	casa
нас	noi
около	di
если	Se
страница	pagina
мой	mio
имеет	ha
поиск	ricerca
свободно	gratuito
но	ma
наш	nostro
один	uno
Другие	altro
делать	fare
Информация	informazione
время	tempo
он	lui
который	quale
их	loro
Новости	notizia
использование	uso
там	Là
видеть	vedere
так	così
кто	chi
Web	web
также	anche
получить	ottenere
вечера	pm
Посмотреть	vista
с	c
е	e
первый	primo
было	stato
бы	voluto
мы	erano
s	S
как	piace
Икс	X
чем	di
найти	trova
цена	prezzo
назад	indietro
Вверх	superiore
люди	persone
имел	aveva
список	elenco
имя	nome
просто	appena
год	anno
день	giorno
в	in
два	Due
здоровье	Salute
N	n
ре	ri
используемый	Usato
идти	partire
б	B
последний	ultimo
делать	rendere
их	loro
должен	dovrebbero
продукт	Prodotto
система	sistema
после	inviare
ее	sua
город	città
T	t
политика	politica
номер	numero
поддержка	supporto
сообщение	Messaggio
после	dopo
тогда	poi
январь	gennaio
хорошо	bene
d	d
где	dove
Информация	Informazioni
права	diritti
книги	libri
высокая	alto
школа	scuola
м	m
каждый	ogni
связи	link
она	lei
лет	anni
заказ	ordine
очень	molto
книга	libro
Предметы	elementi
Компания	azienda
р	r
читать	leggere
группа	gruppo
секс	sesso
многие	molti
пользователь	utente
де	de
задавать	impostato
Генеральная	generale
исследование	ricerca
Университет	Università
январь	gennaio
почта	posta
полный	pieno
отзывы	recensioni
программа	programma
знать	conoscere
игры	Giochi
путь	modo
дней	giorni
п	p
часть	parte
мог	poteva
Великий	grande
единый	unito
реальный	vero
е	f
Международный	internazionale
центр	centro
путешествовать	viaggio
Комментарии	Commenti
сделал	fatto
развитие	sviluppo
доклад	rapporto
член	membro
Детали	dettagli
линия	linea
сроки	condizioni
до	prima
отели	alberghi
сделал	fatto
