of	od
to	do
in	u
for	za
is	je
on	na
that	da
by	po
this	ovaj
with	s
i	ja
you	vas
it	to
or	ili
be	biti
are	su
at	na
all	svi
have	imati
new	novi
we	mi
will	htjeti
home	Dom
us	nas
about	oko
if	ako
page	stranica
my	moj
has	ima
search	traži
free	besplatno
but	ali
our	naše
one	jedan
other	drugo
do	čini
information	informacija
time	vrijeme
he	on
which	koji
their	njihov
news	vijesti
use	koristiti
there	tamo
see	vidjeti
so	tako
who	tko
web	mreža
also	također
get	dobiti
pm	pm
view	pogled
c	c
e	e
first	prvi
been	bila
would	bi
were	su
s	a
like	Kao
x	x
than	od
find	pronaći
price	cijena
back	leđa
top	vrh
people	narod
had	imala
list	popis
name	Ime
just	samo
year	godina
day	dan
into	u
two	dva
health	zdravlje
n	n
re	ponovno
used	koristi
go	ići
b	b
last	posljednji
make	napraviti
them	ih
should	treba
product	proizvod
system	sistem
post	pošta
her	nju
city	Grad
t	t
policy	politika
number	broj
support	podrška
message	poruka
after	nakon
then	zatim
jan	siječanj
good	dobro
d	d
where	gdje
info	Informacije
rights	prava
books	knjige
high	visok
school	škola
m	m
each	svaki
links	linkovi
she	ona
years	godine
order	narudžba
very	vrlo
book	knjiga
items	stavke
company	društvo
r	r
read	čitati
group	skupina
sex	seks
many	mnogi
user	korisnik
de	de
set	set
general	general
research	istraživanje
university	sveučilište
january	siječanj
mail	pošta
full	puni
reviews	recenzije
program	program
know	znati
games	igre
way	put
days	dana
p	p
part	dio
could	mogao
great	Sjajno
united	ujedinjen
real	stvaran
f	f
international	međunarodna
center	centar
travel	putovati
comments	komentari
made	napravljen
development	razvoj
report	izvješće
member	član
details	detalji
line	crta
terms	Pojmovi
before	prije
hotels	hoteli
did	učinio
send	poslati
right	pravo
type	tip
local	lokalne
those	oni
results	rezultati
office	ured
national	nacionalna
car	automobil
design	dizajn
take	uzeti
posted	objavljeno
address	adresa
community	zajednica
within	unutar
states	Države
want	željeti
phone	telefon
dvd	DVD
subject	predmet
between	između
forum	forum
family	obitelj
l	l
long	dugo
w	w
show	pokazati
o	o
even	čak
black	crno
special	poseban
index	indeks
being	biće
women	žene
much	mnogo
sign	znak
file	datoteka
link	veza
open	otvoren
south	jug
case	slučaj
project	projekt
pages	stranica
version	verzija
section	odjeljak
own	vlastiti
house	kuća
security	sigurnosti
g	g
county	okrug
american	američki
photo	foto
game	igra
members	članovi
power	vlast
network	mreža
computer	Računalo
systems	sustavi
three	tri
place	mjesto
end	kraj
h	h
him	mu
per	po
access	pristup
think	razmišljati
north	sjeverno
resources	resursi
current	Trenutno
big	velik
media	media
law	zakon
control	kontrolirati
water	voda
history	povijest
size	veličina
personal	osobni
guide	vodič
shop	dućan
directory	imenik
change	promijeniti
white	bijela
text	tekst
small	mali
rating	klijenata
rate	stopa
government	vlada
children	djeca
return	povratak
students	studenti
v	v
account	račun
times	puta
level	nivo
digital	digitalni
profile	profil
previous	prijašnji
form	oblik
events	događaji
love	ljubav
old	star
john	Ivan
main	glavni
call	poziv
image	slika
department	odjel
title	titula
non	ne
k	k
y	y
insurance	osiguranje
shall	treba
property	svojstvo
class	klasa
cd	CD
quality	kvaliteta
every	svaki
listing	spisak
content	sadržaj
country	zemlja
little	malo
tools	alat
low	nizak
reply	odgovor
customer	kupac
december	prosinac
compare	usporediti
movies	filmovi
college	koledž
value	vrijednost
article	članak
man	čovjek
jobs	poslovi
j	j
food	hrana
author	Autor
different	drugačiji
u	u
learn	naučiti
sale	prodaja
print	otisak
course	tečaj
job	posao
room	soba
stock	zaliha
training	trening
too	isto
credit	Kreditna
point	točka
science	znanost
men	muškarci
categories	kategorije
west	Zapad
look	izgled
english	Engleski
team	tim
estate	imanje
box	kutija
conditions	Uvjeti
photos	fotografije
gay	homoseksualac
thread	nit
category	kategorija
note	Bilješka
live	uživo
large	veliki
gallery	galerija
table	stol
however	međutim
june	lipanj
october	listopad
november	studeni
market	tržište
library	knjižnica
action	akcijski
start	početak
series	niz
features	značajke
air	zrak
industry	industrija
plan	plan
human	ljudski
yes	Da
second	drugi
hot	vruće
cost	cijena
movie	film
forums	forumi
march	ožujak
la	la
september	rujan
say	reći
going	odlazak
medical	medicinski
friend	prijatelj
dec	prosinca
server	server
application	primjena
staff	osoblje
play	igra
issues	pitanja
april	travanj
users	Korisnici
street	ulica
topic	tema
against	protiv
got	dobio
blog	blog
party	Zabava
payment	plaćanje
equipment	oprema
let	pustiti
programs	programi
legal	pravni
recent	nedavni
park	park
act	čin
problem	problem
red	Crvena
give	dati
memory	memorija
performance	izvođenje
social	socijalni
q	q
story	priča
sell	prodavati
options	opcije
experience	iskustvo
key	ključ
body	tijelo
young	mladi
important	važno
field	polje
few	nekoliko
east	istočno
single	singl
ii	ii
age	dob
club	klub
example	primjer
girls	djevojke
z	z
road	cesta
gift	dar
question	pitanje
ca	ca
hard	teško
pay	platiti
four	četiri
poker	poker
issue	problem
range	opseg
building	zgrada
seller	prodavač
court	sud
february	veljača
result	proizlaziti
light	svjetlo
write	pisati
war	rat
offer	ponuda
blue	plava
groups	grupe
al	al
easy	lako
given	dan
request	zahtjev
fax	faks
china	Kina
making	izrađivanje
picture	slika
needs	potrebe
possible	moguće
month	mjesec
major	glavni
star	zvijezda
future	budućnost
space	prostor
committee	odbor
hand	ruka
sun	Sunce
cards	kartice
london	London
meeting	sastanak
become	postati
child	dijete
keep	zadržati
porn	pornografija
share	udio
similar	sličan
garden	vrt
schools	škola
million	milijuna
added	dodano
reference	upućivanje
companies	tvrtke
baby	dijete
learning	učenje
energy	energija
run	trčanje
delivery	dostava
popular	popularan
term	termin
film	film
stories	priče
put	staviti
journal	časopis
reports	izvještaji
co	ko
try	probati
images	slika
notice	obavijest
god	bog
original	izvornik
head	glava
radio	radio
cell	ćelija
council	vijeće
includes	uključuje
track	staza
discussion	rasprava
archive	arhiva
others	drugi
agreement	sporazum
format	format
society	društvo
months	mjeseci
safety	sigurnosni
friends	prijatelji
sure	Naravno
edition	izdanje
messages	poruke
marketing	Marketing
tell	reći
association	asocijacija
provides	pruža
fun	zabava
already	već
green	zelena
studies	studije
close	Zatvoriti
common	uobičajen
specific	specifično
several	nekoliko
living	život
collection	kolekcija
called	zvao
short	kratak
arts	umjetnost
lot	mnogo
ask	pitati
limited	ograničen
solutions	rješenja
director	direktor
beach	plaža
past	prošlost
natural	prirodni
electronics	elektronika
upon	na
period	razdoblje
planning	planiranje
says	kaže
official	službeno
mar	pokvariti
done	učinio
technical	tehnička
window	prozor
pro	profesionalac
region	regija
island	otoka
record	snimiti
direct	direktno
conference	konferencija
records	ploče
st	st
district	okrug
calendar	kalendar
costs	troškovi
style	stil
statement	izjava
miles	milja
resource	resurs
applications	aplikacije
document	dokument
word	riječ
works	djela
material	materijal
bill	račun
written	napisan
rules	pravila
final	konačni
thing	stvar
centre	centar
requirements	zahtjevi
TRUE	PRAVI
minutes	minuta
else	drugo
mark	ocjena
rock	stijena
bad	loše
individual	pojedinac
plus	plus
auto	auto
cover	pokriti
edit	Uredi
together	zajedno
videos	video
fast	brzo
function	funkcija
fact	činjenica
getting	uzimajući
global	globalno
tech	tech
meet	sastati
far	daleko
economic	ekonomski
en	hr
player	igrač
projects	projekti
amount	iznos
watch	Gledati
included	uključen
feel	osjetiti
bank	banka
risk	rizik
deals	Popularna
various	raznovrstan
words	riječi
production	proizvodnja
commercial	trgovački
weight	težina
heart	srce
treatment	liječenje
points	bodova
knowledge	znanje
magazine	časopis
error	greška
camera	fotoaparat
girl	djevojka
construction	izgradnja
toys	igračke
registered	zabilježen
domain	domena
methods	metode
chapter	poglavlje
protection	zaštita
policies	politika
wide	širok
beauty	ljepota
manager	menadžer
india	Indija
position	položaj
taken	poduzete
sort	vrsta
listings	oglasi
known	znan
half	pola
cases	slučajevi
step	korak
engineering	inženjering
simple	jednostavan
quick	brz
license	licenca
lake	jezero
whole	čitav
annual	godišnji
published	Objavljeno
church	crkva
method	način
active	aktivan
response	odgovor
figure	lik
materials	materijali
enough	dovoljno
designed	konstruiran
among	među
death	smrt
loss	gubitak
face	lice
brand	marka
discount	popust
effects	efekti
created	stvorio
standards	standardi
bit	bit
political	politički
kingdom	kraljevstvo
base	baza
doing	rade
loans	krediti
shoes	cipele
entry	ulaz
stay	boravak
orders	narudžbe
availability	dostupnost
summary	Sažetak
turn	skretanje
growth	rast
agency	agencija
king	kralj
european	europska
activity	aktivnost
copy	kopirati
western	zapadni
force	sila
employment	zapošljavanje
bay	zaljev
river	Rijeka
commission	komisija
package	paket
seen	vidio
players	igrači
engine	motor
port	luka
album	album
regional	Regionalni
stop	Stop
started	počeo
administration	uprava
bar	bar
institute	institut
views	pregleda
double	dvostruko
dog	pas
soon	uskoro
lines	linije
electronic	elektronička
benefits	prednosti
needed	potreban
printer	printer
condition	stanje
effective	djelotvoran
believe	vjerovati
organization	organizacija
effect	posljedica
mind	um
selection	izbor
casino	kasino
pdf	pdf
tour	obilazak
cross	križ
hope	nada
corporation	korporacija
wish	želja
solution	riješenje
mature	zreo
role	uloga
weeks	tjedni
certain	siguran
lower	niži
necessary	potreban
union	unija
mon	mon
com	com
particular	posebno
fine	fino
hour	sat
gas	plin
skills	vještine
six	šest
bush	grm
islands	otoci
advice	savjet
career	karijera
decision	odluka
leave	napustiti
pre	prije
huge	ogroman
woman	žena
facilities	postrojenja
bid	ponuda
middle	srednji
cable	kabel
opportunities	prilike
taking	uzimanje
values	vrijednosti
division	podjela
coming	dolazak
object	objekt
lesbian	lezbijka
appropriate	prikladan
machine	mašina
logo	logo
length	dužina
nice	Lijepo
score	postići
statistics	statistika
client	klijent
sample	uzorak
investment	ulaganje
sent	poslao
shown	prikazan
christmas	Božić
culture	Kultura
flash	bljesak
ms	ms
choice	izbor
courses	tečajevi
consumer	potrošač
hi	bok
foreign	strana
artist	umjetnik
furniture	namještaj
channel	kanal
letter	pismo
mode	način
phones	telefoni
ideas	ideje
structure	struktura
degree	stupanj
contract	ugovor
super	super
male	muški
matter	stvar
almost	skoro
located	nalazi
multiple	višekratnik
distribution	distribucija
editor	urednik
inn	gostionica
industrial	industrijski
potential	potencijal
song	pjesma
los	los
fall	pad
idea	ideja
rooms	sobe
communications	komunikacije
win	pobijediti
primary	osnovni
cancer	Rak
numbers	brojevi
reason	razlog
tool	alat
spring	Proljeće
foundation	temelj
answer	odgovor
voice	glas
schedule	raspored
documents	dokumenti
purpose	Svrha
feature	svojstvo
bed	krevet
comes	dolazi
police	policija
independent	samostalan
approach	pristup
brown	smeđ
physical	fizička
hill	brdo
maps	Karte
hold	držati
ratings	ocjene
happy	sretan
smith	kovač
developed	razvijen
thank	zahvaliti
safe	sef
unique	jedinstvena
survey	pregled
prior	prije
telephone	telefon
sport	sport
ready	spreman
animal	životinja
sources	izvori
population	populacija
pa	godišnje
regular	redovan
secure	siguran
operations	operacije
simply	jednostavno
evidence	dokaz
station	stanica
understand	razumjeti
option	opcija
valley	dolina
probably	vjerojatno
sea	more
publications	publikacije
improve	poboljšati
connection	veza
publisher	izdavač
hall	dvorana
anti	anti
networks	mreže
earth	Zemlja
parents	roditelji
impact	udarac
transfer	prijenos
introduction	Uvod
kitchen	kuhinja
strong	jak
wedding	vjenčanje
properties	nekretnine
hospital	bolnica
ground	tlo
ship	brod
accommodation	smještaj
disease	bolest
excellent	izvrstan
perfect	savršen
hair	dlaka
opportunity	prilika
kit	oprema
classic	klasik
basis	osnova
command	naredba
cities	gradovi
express	izraziti
award	dodijeliti
distance	udaljenost
tree	drvo
assessment	procjena
wall	zid
involved	umiješan
el	el
extra	ekstra
especially	posebno
budget	budžet
guides	vodiči
success	uspjeh
maximum	maksimum
ma	majka
operation	operacija
existing	postojanje
quite	dosta
selected	odabran
boy	dječak
restaurants	restorani
beautiful	lijep
warning	upozorenje
locations	lokacije
horse	konj
vote	glasanje
flowers	cvijeće
stars	zvijezde
lists	arena
owner	vlasnik
animals	životinje
ways	načine
son	sin
providing	pružanje
rule	Pravilo
housing	kućište
takes	traje
bring	donijeti
catalog	katalog
max	maksimum
mother	majka
authority	vlast
told	rekao
programme	program
joined	spojen
input	ulazni
strategy	strategija
feet	noge
agent	agent
valid	vrijedi
modern	moderan
senior	stariji
sexy	seksi
teaching	nastava
door	vrata
grand	veličanstven
trial	suđenje
units	jedinice
cool	svjež
normal	normalan
enterprise	poduzeće
ships	brodovi
entire	čitav
positive	pozitivan
fitness	sposobnost
chinese	kineski
opinion	mišljenje
football	nogomet
abstract	sažetak
output	izlaz
funds	fondovi
mr	mr
likely	Vjerojatno
develop	razviti
artists	izvođači
alternative	alternativa
responsibility	odgovornost
java	Java
guest	gost
publication	objavljivanje
pass	proći
relations	odnosi
trust	povjerenje
van	kombi
contains	sadrži
multi	multi
republic	republika
fees	naknada
components	komponente
vacation	odmor
century	stoljeće
academic	akademski
assistance	pomoć
completed	dovršen
skin	koža
graphics	grafika
indian	Indijanac
ring	prsten
grade	razred
mountain	planina
organizations	organizacija
filter	filtar
panel	ploča
floor	kat
buying	kupovina
match	utakmica
proposed	zaprosio
require	zahtijevati
boys	dječaci
morning	jutro
allows	omogućuje
protein	protein
plant	biljka
reported	izvijestio
hit	pogoditi
mm	mm
pool	bazen
mini	mini
politics	politika
partner	partner
authors	autori
boards	ploče
fish	riba
membership	članstvo
mission	misija
eye	oko
string	niz
sense	osjećaj
modified	promijenjen
released	oslobođen
stage	faza
internal	interni
born	rođen
detailed	detaljan
japanese	japanski
race	utrka
approved	odobren
target	cilj
except	osim
character	lik
maintenance	održavanje
ability	sposobnost
ed	ed
rape	silovanje
battery	baterija
youth	mladež
pressure	pritisak
submitted	podnijeti
debt	dug
medium	srednji
television	televizija
interested	zainteresiran
core	srž
break	pauza
purposes	svrhe
sets	setovi
dance	ples
wood	drvo
defined	definiran
papers	novine
awards	nagrade
fee	pristojba
studio	studio
reader	čitač
device	uređaj
established	osnovan
answers	odgovori
rent	najam
las	las
dark	mrak
external	vanjski
apple	jabuka
le	le
instructions	instrukcije
min	min
offered	ponudio
theory	teorija
remove	ukloniti
aid	pomoć
visual	vidni
host	domaćin
variety	raznolikost
teachers	učitelji
manual	priručnik
block	blok
subjects	teme
agents	agenti
repair	popravak
fair	pravedan
steel	željezo
understanding	razumijevanje
songs	Pjesme
