of	de
että	à
sisään	dans
varten	pour
on	est
päällä	sur
että	cette
mennessä	par
Tämä	ce
kanssa	avec
minä	je
sinä	toi
se	il
tai	ou
olla	être
olemme	sont
at	à
kaikki	tout
omistaa	avoir
Uusi	Nouveau
me	nous
tahtoa	volonté
Koti	maison
meille	nous
noin	sur
jos	si
sivu	page
minun	mon
on	a
Hae	chercher
vapaa	gratuit
mutta	mais
meidän	notre
yksi	un
muut	autre
tehdä	faire
tiedot	information
aika	temps
hän	il
joka	lequel
heidän	leur
uutiset	nouvelles
käyttää	utilisation
siellä	Là
nähdä	voir
niin	alors
Kuka	qui
verkko	toile
myös	aussi
saada	obtenir
pm	pm
näkymä	vue
C	c
e	e
ensimmäinen	premier
ollut	été
olisi	aurait
olivat	étaient
s	s
Kuten	comme
x	X
kuin	que
löytö	trouver
hinta	prix
takaisin	arrière
ylin	Haut
ihmiset	gens
oli	avait
lista	liste
nimi	prénom
vain	juste
vuosi	an
päivä	journée
osaksi	dans
kaksi	deux
terveys	santé
n	n
re	ré
käytetty	utilisé
mennä	aller
b	b
kestää	dernier
tehdä	faire
niitä	leur
pitäisi	devrait
tuote	produit
järjestelmä	système
lähettää	poster
hänen	sa
kaupunki	ville
T	t
politiikka	politique
määrä	nombre
tuki	soutien
viesti	message
jälkeen	après
sitten	puis
tammikuu	jan
hyvä	bien
d	ré
missä	où
tiedot	Info
oikeudet	droits
kirjat	livres
korkea	haute
koulu	école
m	m
kukin	chaque
linkit	liens
hän	elle
vuotta	années
tilata	commande
erittäin	très
kirja	livre
kohdetta	articles
yhtiö	compagnie
R	r
lukea	lis
ryhmä	groupe
sukupuoli	sexe
monet	beaucoup
käyttäjä	utilisateur
de	de
sarja	ensemble
yleinen	général
tutkimus	recherche
yliopisto	Université
tammikuu	janvier
posti	courrier
koko	plein
arvostelut	avis
ohjelmoida	programme
tietää	connaître
pelit	Jeux
tapa	façon
päivää	journées
p	p
osa	partie
voisi	pourrait
loistava	génial
yhdistynyt	uni
todellinen	réal
f	F
kansainvälinen	international
keskusta	centre
matkustaa	Voyage
kommentit	commentaires
tehty	fabriqué
kehitys	développement
raportti	rapport
jäsen	membre
yksityiskohdat	détails
linja	ligne
ehdot	termes
ennen	avant
hotellit	hôtels
teki	fait
lähettää	envoyer
oikea	droite
tyyppi	type
paikallinen	local
nuo	ceux
tulokset	résultats
toimisto	Bureau
kansallinen	nationale
auto	voiture
design	conception
ottaa	prendre
lähetetty	posté
osoite	adresse
Yhteisö	communauté
sisällä	dans
valtiot	États
haluta	vouloir
puhelin	téléphone
DVD	DVD
aihe	assujettir
välillä	entre
foorumi	forum
perhe	famille
l	l
pitkä	longue
w	w
show	montrer
O	o
jopa	même
musta	noir
erityinen	spécial
indeksi	indice
ollessa	étant
naiset	femmes
paljon	beaucoup
merkki	signe
tiedosto	fichier
linkki	lien
avata	ouvrir
etelä	Sud
tapaus	Cas
projekti	projet
sivut	pages
versio	version
jakso	section
oma	posséder
talo	maison
