arasında	od
için	do
içinde	u
için	za
olduğu	je
üzerinde	na
o	da
tarafından	po
bu	ovaj
ile	s
ben	ja
sen	vas
o	to
veya	ili
olmak	biti
Hangi	su
en	na
herşey	svi
var	imati
yeni	novi
Biz	mi
irade	htjeti
ev	Dom
bize	nas
hakkında	oko
Eğer	ako
sayfa	stranica
benim	moj
vardır	ima
arama	traži
ücretsiz	besplatno
fakat	ali
bizim	naše
bir	jedan
diğer	drugo
yap	čini
bilgi	informacija
zaman	vrijeme
o	on
hangi	koji
onların	njihov
haber	vijesti
kullanım	koristiti
Orada	tamo
görmek	vidjeti
yani	tako
kim	tko
ağ	mreža
Ayrıca	također
almak	dobiti
pm	pm
görünüm	pogled
c	c
e	e
ilk	prvi
olmuştur	bila
olur	bi
idi	su
s	a
sevmek	Kao
x	x
göre	od
bulmak	pronaći
fiyat	cijena
geri	leđa
üst	vrh
insanlar	narod
vardı	imala
liste	popis
isim	Ime
sadece	samo
yıl	godina
gün	dan
içine	u
iki	dva
sağlık	zdravlje
n	n
yeniden	ponovno
Kullanılmış	koristi
gitmek	ići
b	b
son	posljednji
Yapmak	napraviti
onları	ih
meli	treba
ürün	proizvod
sistem	sistem
posta	pošta
ona	nju
Kent	Grad
t	t
politika	politika
numara	broj
destek	podrška
mesaj	poruka
sonra	nakon
sonra	zatim
Ocak	siječanj
iyi	dobro
d	d
nerede	gdje
bilgi	Informacije
haklar	prava
kitaplar	knjige
yüksek	visok
okul	škola
m	m
her	svaki
bağlantılar	linkovi
o	ona
yıl	godine
sipariş	narudžba
çok	vrlo
kitap	knjiga
ürün	stavke
şirket	društvo
r	r
okumak	čitati
grup	skupina
seks	seks
çok	mnogi
kullanıcı	korisnik
de	de
set	set
genel	general
Araştırma	istraživanje
Üniversite	sveučilište
Ocak	siječanj
posta	pošta
tam	puni
yorumlar	recenzije
program	program
bilmek	znati
oyunlar	igre
yol	put
günler	dana
p	p
Bölüm	dio
could	mogao
harika	Sjajno
birleşmiş	ujedinjen
gerçek	stvaran
f	f
Uluslararası	međunarodna
merkez	centar
seyahat	putovati
yorumlar	komentari
yapılmış	napravljen
gelişme	razvoj
rapor	izvješće
üye	član
ayrıntılar	detalji
hat	crta
şartlar	Pojmovi
önce	prije
oteller	hoteli
did	učinio
göndermek	poslati
sağ	pravo
tip	tip
yerel	lokalne
bu	oni
Sonuçlar	rezultati
ofis	ured
Ulusal	nacionalna
araba	automobil
dizayn	dizajn
almak	uzeti
gönderildi	objavljeno
adres	adresa
topluluk	zajednica
içinde	unutar
devletler	Države
istemek	željeti
telefon	telefon
DVD	DVD
konu	predmet
arasında	između
forum	forum
aile	obitelj
l	l
uzun	dugo
w	w
göstermek	pokazati
O	o
Üstelik	čak
siyah	crno
özel	poseban
indeks	indeks
olmak	biće
KADIN	žene
çok	mnogo
işaret	znak
dosya	datoteka
bağlantı	veza
açık	otvoren
güney	jug
dava	slučaj
proje	projekt
sayfalar	stranica
versiyon	verzija
Bölüm	odjeljak
kendi	vlastiti
ev	kuća
güvenlik	sigurnosti
g	g
kontluk	okrug
Amerikan	američki
Fotoğraf	foto
oyun	igra
üyeler	članovi
güç	vlast
ağ	mreža
bilgisayar	Računalo
sistemler	sustavi
üç	tri
yer	mjesto
son	kraj
h	h
onu	mu
başına	po
erişim	pristup
düşünmek	razmišljati
kuzeyinde	sjeverno
kaynaklar	resursi
şimdiki	Trenutno
büyük	velik
medya	media
kanun	zakon
kontrol	kontrolirati
Su	voda
Tarihçe	povijest
boyut	veličina
kişisel	osobni
kılavuz	vodič
Dükkan	dućan
rehber	imenik
değişiklik	promijeniti
beyaz	bijela
Metin	tekst
küçük	mali
değerlendirme	klijenata
oran	stopa
hükümet	vlada
çocuklar	djeca
dönüş	povratak
öğrencilerin	studenti
v	v
hesap	račun
zamanlar	puta
seviye	nivo
dijital	digitalni
