od	de
do	à
u	dans
za	pour
je	est
na	sur
da	cette
po	par
ovaj	ce
s	avec
ja	je
vas	toi
to	il
ili	ou
biti	être
su	sont
na	à
svi	tout
imati	avoir
novi	Nouveau
mi	nous
htjeti	volonté
Dom	maison
nas	nous
oko	sur
ako	si
stranica	page
moj	mon
ima	a
traži	chercher
besplatno	gratuit
ali	mais
naše	notre
jedan	un
drugo	autre
čini	faire
informacija	information
vrijeme	temps
on	il
koji	lequel
njihov	leur
vijesti	nouvelles
koristiti	utilisation
tamo	Là
vidjeti	voir
tako	alors
tko	qui
mreža	toile
također	aussi
dobiti	obtenir
pm	pm
pogled	vue
c	c
e	e
prvi	premier
bila	été
bi	aurait
su	étaient
a	s
Kao	comme
x	X
od	que
pronaći	trouver
cijena	prix
leđa	arrière
vrh	Haut
narod	gens
imala	avait
popis	liste
Ime	prénom
samo	juste
godina	an
dan	journée
u	dans
dva	deux
zdravlje	santé
n	n
ponovno	ré
koristi	utilisé
ići	aller
b	b
posljednji	dernier
napraviti	faire
ih	leur
treba	devrait
proizvod	produit
sistem	système
pošta	poster
nju	sa
Grad	ville
t	t
politika	politique
broj	nombre
podrška	soutien
poruka	message
nakon	après
zatim	puis
siječanj	jan
dobro	bien
d	ré
gdje	où
Informacije	Info
prava	droits
knjige	livres
visok	haute
škola	école
m	m
svaki	chaque
linkovi	liens
ona	elle
godine	années
narudžba	commande
vrlo	très
knjiga	livre
stavke	articles
društvo	compagnie
r	r
čitati	lis
skupina	groupe
seks	sexe
mnogi	beaucoup
korisnik	utilisateur
de	de
set	ensemble
general	général
istraživanje	recherche
sveučilište	Université
siječanj	janvier
pošta	courrier
puni	plein
recenzije	avis
program	programme
znati	connaître
igre	Jeux
put	façon
dana	journées
p	p
dio	partie
mogao	pourrait
Sjajno	génial
ujedinjen	uni
stvaran	réal
f	F
međunarodna	international
centar	centre
putovati	Voyage
komentari	commentaires
napravljen	fabriqué
razvoj	développement
izvješće	rapport
član	membre
detalji	détails
crta	ligne
Pojmovi	termes
prije	avant
hoteli	hôtels
učinio	fait
poslati	envoyer
pravo	droite
tip	type
lokalne	local
oni	ceux
rezultati	résultats
ured	Bureau
nacionalna	nationale
automobil	voiture
dizajn	conception
uzeti	prendre
objavljeno	posté
adresa	adresse
zajednica	communauté
unutar	dans
Države	États
željeti	vouloir
telefon	téléphone
DVD	DVD
predmet	assujettir
između	entre
forum	forum
obitelj	famille
l	l
dugo	longue
w	w
pokazati	montrer
o	o
čak	même
crno	noir
poseban	spécial
indeks	indice
biće	étant
žene	femmes
mnogo	beaucoup
znak	signe
datoteka	fichier
veza	lien
otvoren	ouvrir
jug	Sud
slučaj	Cas
projekt	projet
stranica	pages
verzija	version
